,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
11432,aK. PillarPH-DH,3,0,0,0,0,0,2,.321,.372,.563,M. RojasSS,4,0,0,0,0,0,1,.270,.313,.421
11433,L. O'HoppeC,3,0,0,0,0,0,1,.271,.322,.453,C. BiggioPR,0,0,0,0,0,0,0,.176,.333,.176
11434,Z. NetoSS,3,0,0,1,0,0,1,.251,.300,.434,M. VargasLF,2,0,1,0,0,0,0,.321,.375,.571
11435,M. MoniakCF,4,0,0,1,0,0,1,.189,.237,.291,J. HeywardRF,2,0,0,0,0,0,0,.244,.340,.477
11436,M. Stefanic2B,4,0,0,0,0,0,1,.231,.310,.269,E. Hernández3B,4,0,0,0,0,0,1,.197,.270,.299
11437,J. AdellRF,4,1,1,0,0,0,0,.187,.250,.399,C. Taylor2B,2,0,1,0,0,0,0,.139,.235,.198
11438,team,33,3,4,3,0,2,8,,,,aG. LuxPH-2B,2,0,0,0,0,0,2,.210,.258,.280
11439,,,,,,,,,,,,A. BarnesC,3,1,1,0,0,0,0,.203,.292,.219
11440,,,,,,,,,,,,team,33,2,5,2,1,2,8,,,
11441,gameId: 401569600,,,,,,,,,,,,,,,,,,,,,
11442,C. CarrollCF,3,1,0,0,0,1,0,.215,.309,.319,K. SchwarberDH,4,1,1,0,0,1,1,.254,.376,.460
11443,G. MorenoC,3,1,2,2,1,0,0,.230,.313,.346,T. TurnerSS,4,1,2,3,1,0,0,.344,.389,.470
11444,T. BarnhartC,2,0,0,0,0,0,0,.164,.291,.194,B. Harper1B,4,0,1,0,0,0,1,.285,.390,.538
11445,J. PedersonDH,4,1,2,1,1,1,1,.302,.399,.536,A. Bohm3B,4,0,0,0,0,0,0,.301,.354,.475
11446,C. Walker1B,5,0,1,0,0,0,0,.257,.332,.483,N. CastellanosRF,3,1,1,1,1,1,1,.221,.277,.379
11447,L. Gurriel Jr.LF,4,1,2,1,1,0,1,.260,.294,.407,E. Sosa2B,3,0,2,0,0,0,0,.283,.340,.500
11448,R. GrichukRF,1,0,0,0,0,0,1,.301,.357,.460,cB. StottPH-2B,1,0,0,0,0,0,0,.238,.335,.364
11449,J. McCarthyRF-LF,3,0,0,0,0,0,1,.293,.376,.415,W. MerrifieldLF,2,0,0,0,0,0,0,.187,.270,.293
11450,E. Suarez3B,2,0,0,0,0,2,1,.197,.282,.315,aB. MarshPH-CF,2,0,0,0,0,0,1,.260,.338,.409
11451,B. Alexander2B,4,1,1,0,0,0,0,.269,.333,.379,C. PacheCF,2,0,0,0,0,0,2,.206,.313,.279
11452,G. PerdomoSS,3,0,1,1,0,0,1,.288,.362,.327,bD. DahlPH-LF,1,1,0,0,0,1,0,.176,.222,.412
11453,team,34,5,9,5,3,4,6,,,,R. MarchanC,3,0,0,0,0,1,0,.278,.316,.444
11454,,,,,,,,,,,,team,33,4,7,4,2,4,6,,,
11455,gameId: 401569601,,,,,,,,,,,,,,,,,,,,,
11456,J. KelenicCF,5,1,2,1,0,1,1,.268,.310,.426,A. VolpeSS,3,0,1,0,0,1,0,.272,.330,.409
11457,O. Albies2B,5,2,2,2,1,1,1,.266,.325,.422,J. SotoRF,4,0,0,0,0,0,3,.304,.428,.568
11458,M. OzunaDH,4,0,0,0,0,1,2,.311,.387,.590,A. JudgeCF,4,0,0,0,0,0,2,.301,.425,.688
11459,M. Olson1B,5,2,2,2,1,0,2,.254,.332,.463,G. StantonDH,3,0,1,0,0,0,1,.244,.301,.488
