,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
1797,C. AbramsSS,4,1,2,3,1,0,1,.344,.400,.688,J. LeeCF,5,0,2,0,0,0,0,.255,.315,.340
1798,L. ThomasRF,4,0,0,0,0,0,1,.209,.286,.279,L. Wade Jr.1B,2,0,1,0,0,0,0,.344,.432,.438
1799,J. GalloDH,3,0,0,0,0,0,1,.167,.302,.417,aW. FloresPH-1B,3,0,1,0,0,0,1,.269,.345,.308
1800,J. Meneses1B,4,0,0,0,0,0,2,.190,.271,.214,A. SlaterPR,0,0,0,0,0,0,0,.000,.222,.000
1801,J. WinkerLF,3,2,2,0,0,0,1,.310,.487,.379,J. SolerDH,3,0,0,0,0,2,2,.209,.327,.419
1802,R. AdamsC,4,0,2,1,0,0,1,.267,.250,.533,M. ConfortoLF,5,0,0,0,0,0,0,.310,.370,.619
1803,I. Vargas2B,4,0,0,0,0,0,1,.292,.414,.417,M. Chapman3B,5,0,1,0,0,0,0,.184,.245,.347
1804,T. Lipscomb3B,3,0,0,1,0,0,0,.243,.256,.324,T. Estrada2B,3,1,1,0,0,1,2,.174,.188,.261
1805,J. YoungCF,4,2,2,0,0,0,1,.167,.250,.167,M. YastrzemskiRF,3,1,2,0,0,0,0,.130,.231,.130
1806,team,33,5,8,5,1,0,9,,,,P. BaileyC,1,1,1,1,0,2,0,.296,.375,.407
1807,,,,,,,,,,,,T. FitzgeraldPR,0,0,0,0,0,0,0,.000,.250,.000
1808,,,,,,,,,,,,T. MurphyC,0,0,0,0,0,0,0,.111,.273,.222
1809,,,,,,,,,,,,N. AhmedSS,4,0,1,1,0,0,1,.222,.263,.250
1810,,,,,,,,,,,,team,34,3,10,2,0,5,6,,,
1811,gameId: 401568641,,,,,,,,,,,,,,,,,,,,,
1812,K. MarteDH-2B,4,1,2,0,0,1,0,.294,.356,.529,E. TovarSS,5,1,3,0,0,0,1,.333,.396,.542
1813,C. CarrollCF,5,2,1,0,0,0,2,.224,.333,.327,R. McMahon3B,2,0,0,0,0,3,1,.383,.464,.553
1814,L. Gurriel Jr.LF,5,0,2,2,0,0,1,.308,.368,.538,K. BryantDH,5,0,0,0,0,0,1,.100,.234,.175
1815,C. Walker1B,3,1,1,0,0,2,0,.294,.400,.490,E. Montero1B,4,0,1,1,0,0,2,.172,.242,.172
1816,E. Suarez3B,5,0,1,2,0,0,0,.255,.316,.373,J. CaveRF,0,0,0,0,0,1,0,.273,.385,.545
1817,R. GrichukRF,5,0,0,0,0,0,2,.176,.211,.353,N. JonesLF,5,0,0,0,0,0,3,.157,.246,.235
1818,J. McCarthyRF,0,0,0,0,0,0,0,.273,.304,.364,B. DoyleCF,3,0,0,0,0,1,0,.283,.327,.500
1819,B. AlexanderSS,2,1,2,1,1,1,0,.345,.424,.552,B. Rodgers2B,4,1,1,0,0,0,1,.174,.191,.239
1820,B. JarvisP,0,0,0,0,0,0,0,.000,.000,.000,M. TogliaRF-1B,4,1,1,2,1,0,1,.160,.192,.520
1821,aJ. PedersonPH,0,0,0,0,0,1,0,.368,.520,.421,J. StallingsC,2,0,0,0,0,1,0,.300,.462,.400
1822,J. MantiplyP,0,0,0,0,0,0,0,.000,.000,.000,aC. BlackmonPH,1,0,0,0,0,0,1,.326,.396,.558
1823,K. GinkelP,0,0,0,0,0,0,0,.000,.000,.000,team,35,3,6,3,1,6,11,,,
1824,T. BarnhartC,4,0,1,0,0,0,0,.300,.364,.300,,,,,,,,,,,
1825,K. Newman2B,3,0,0,0,0,0,0,.111,.200,.111,,,,,,,,,,,
1826,bJ. PetersonPH-SS,1,0,0,0,0,0,0,.100,.250,.100,,,,,,,,,,,
1827,team,37,5,10,5,1,5,5,,,,,,,,,,,,,,
1828,gameId: 401568642,,,,,,,,,,,,,,,,,,,,,
1829,G. HendersonSS,4,0,1,0,0,1,1,.233,.306,.488,J. DuranLF-CF,5,1,2,0,0,0,1,.327,.375,.385
1830,A. RutschmanC,5,0,0,0,0,0,3,.279,.347,.326,T. O'NeillRF-LF,3,0,1,1,0,1,2,.343,.489,.857
1831,A. SantanderRF,5,0,1,0,0,0,1,.213,.224,.383,R. Devers3B,2,1,0,0,0,2,1,.184,.326,.395
1832,R. O'HearnDH,3,1,1,0,0,1,0,.333,.429,.583,T. Casas1B,4,2,2,2,1,0,1,.267,.353,.422
1833,aA. HaysPH-DH,1,0,0,0,0,0,0,.074,.167,.074,R. GonzalezSS,3,1,1,0,0,1,0,.250,.400,.250
1834,R. Mountcastle1B,4,2,2,0,0,1,0,.302,.360,.488,P. Reyes2B,2,0,0,0,0,0,1,.167,.211,.167
1835,C. MullinsCF,3,2,1,0,0,1,2,.200,.256,.400,aW. AbreuPH-RF,2,0,0,0,0,0,2,.111,.200,.111
1836,C. CowserLF,4,1,1,2,0,1,2,.421,.429,.632,M. YoshidaDH,4,0,1,0,0,0,0,.225,.311,.275
1837,J. Westburg3B,3,1,2,3,1,0,0,.235,.297,.500,C. WongC,3,0,1,2,0,0,1,.316,.316,.368
1838,J. Holliday2B,4,0,0,1,0,0,2,.000,.000,.000,bR. McGuirePH,1,0,0,0,0,0,1,.308,.379,.577
1839,team,36,7,9,6,1,5,11,,,,C. RafaelaCF-2B,3,0,0,0,0,0,2,.194,.244,.333
1840,,,,,,,,,,,,cD. HamiltonPH,1,0,0,0,0,0,1,.286,.375,.714
1841,,,,,,,,,,,,team,33,5,8,5,1,4,13,,,
1842,gameId: 401568643,,,,,,,,,,,,,,,,,,,,,
1843,R. GrossmanRF,3,2,1,0,0,2,0,.167,.348,.167,S. KwanLF,5,1,2,1,1,0,0,.386,.397,.526
1844,L. Sosa3B,4,1,1,0,0,0,1,.286,.286,.429,A. Gimenez2B,5,1,1,0,0,0,0,.326,.418,.478
1845,G. Sheets1B,5,2,3,5,1,0,1,.333,.455,.704,J. Ramirez3B,5,0,0,0,0,0,1,.268,.281,.446
1846,A. VaughnDH,3,0,1,0,0,1,1,.214,.298,.262,J. Naylor1B,4,2,2,2,1,1,0,.333,.417,.641
1847,K. PillarPR-DH,0,0,0,0,0,0,0,.111,.273,.222,T. FreemanPR,0,1,0,0,0,0,0,.200,.256,.314
1848,A. BenintendiLF,5,0,0,0,0,0,2,.149,.216,.170,W. BrennanRF,3,0,0,0,0,2,1,.235,.308,.235
1849,K. LeeC,3,0,0,0,0,0,1,.316,.350,.526,R. LaureanoCF,3,1,1,0,0,1,1,.217,.438,.261
1850,aO. ColasPH,1,0,0,0,0,0,0,.000,.000,.000,B. NaylorC,4,1,2,3,1,1,1,.194,.324,.387
1851,M. MaldonadoC,1,0,0,0,0,0,1,.087,.125,.130,E. FlorialDH,2,0,0,0,0,0,1,.143,.250,.286
1852,D. FletcherCF,4,0,1,0,0,0,1,.233,.324,.333,aD. FryPH-DH,1,0,0,1,0,0,0,.313,.435,.563
1853,B. Shewmake2B,3,0,1,0,0,0,0,.211,.238,.421,B. RocchioSS,4,0,0,0,0,0,0,.243,.300,.378
1854,bP. DeJongPH-SS,1,0,1,0,0,0,0,.200,.200,.520,team,36,7,8,7,3,5,5,,,
1855,N. LopezSS-2B,3,1,1,0,0,0,0,.167,.242,.167,,,,,,,,,,,
1856,team,36,6,10,5,1,3,8,,,,,,,,,,,,,,
1857,gameId: 401568644,,,,,,,,,,,,,,,,,,,,,
1858,I. HappDH,3,0,0,0,0,1,1,.298,.421,.404,X. Bogaerts2B,3,1,0,0,0,1,0,.237,.297,.322
1859,S. SuzukiRF,4,0,0,0,0,0,3,.298,.375,.489,aE. RosarioPH-3B,0,0,0,0,0,0,0,.267,.353,.800
1860,C. BellingerCF,4,0,0,0,0,0,0,.191,.291,.340,F. Tatis Jr.RF,4,1,1,1,0,1,0,.263,.333,.491
1861,C. Morel3B,4,1,0,0,0,0,2,.298,.340,.553,J. Cronenworth1B,4,1,2,2,1,0,0,.304,.365,.518
1862,M. Busch1B,2,1,1,2,1,2,0,.270,.364,.486,bB. SullivanPH-1B,1,0,0,0,0,0,1,.000,.000,.000
1863,D. SwansonSS,4,0,1,0,0,0,0,.268,.367,.488,M. MachadoDH,5,2,2,0,0,0,3,.237,.308,.390
1864,M. TauchmanLF,2,0,1,0,0,0,1,.250,.500,.375,J. ProfarLF,3,2,3,3,1,0,0,.333,.434,.578
1865,aG. CooperPH-LF,1,0,0,0,0,0,0,.385,.467,.846,J. AzocarLF,1,0,1,1,0,0,0,.364,.417,.364
1866,M. AmayaC,3,0,0,0,0,0,2,.238,.292,.238,H. KimSS,4,2,2,0,0,0,1,.218,.290,.382
1867,M. Mastrobuoni2B,2,0,0,0,0,0,0,.000,.125,.000,L. CampusanoC,4,0,1,2,0,0,0,.319,.333,.447
1868,bN. MadrigalPH-2B,1,0,0,0,0,0,0,.278,.278,.389,J. MerrillCF,2,1,0,1,0,2,0,.286,.388,.405
1869,team,30,2,3,2,1,3,9,,,,T. Wade3B-2B,4,0,0,0,0,0,2,.214,.313,.250
1870,,,,,,,,,,,,team,35,10,12,10,2,4,7,,,
1871,gameId: 401568645,,,,,,,,,,,,,,,,,,,,,
1872,J. Altuve2B,2,0,1,0,0,1,0,.340,.421,.620,M. Garcia3B,3,1,0,0,0,1,1,.208,.245,.479
1873,aM. DubonPH-LF,1,0,0,0,0,1,0,.211,.250,.316,aN. LoftinPH-3B,1,0,0,0,0,0,0,.143,.294,.143
1874,Y. AlvarezDH,3,0,1,0,0,0,0,.346,.404,.635,B. Witt Jr.SS,3,1,0,0,0,1,2,.313,.377,.625
1875,bJ. SingletonPH-DH,2,0,1,0,0,0,1,.188,.235,.188,bF. FerminPH-C,1,0,0,0,0,0,0,.188,.188,.250
1876,K. TuckerRF,5,0,0,0,0,0,1,.259,.322,.407,V. Pasquantino1B,3,2,3,5,1,1,0,.175,.277,.275
1877,A. Bregman3B,4,1,2,0,0,0,1,.245,.315,.347,S. PerezC,4,1,1,0,0,0,0,.333,.360,.479
1878,Y. DiazC,3,1,2,1,0,1,0,.326,.380,.500,cD. BlancoPH-CF,1,0,0,0,0,0,0,.000,.250,.000
1879,J. PenaSS,4,0,1,0,0,0,0,.327,.353,.469,M. MelendezLF,3,1,1,0,0,1,0,.333,.429,.694
1880,C. McCormickLF,3,0,1,0,0,0,0,.220,.333,.268,N. VelazquezDH,4,1,2,2,0,0,1,.343,.395,.600
1881,G. Kessinger2B,1,0,0,0,0,0,0,.000,.000,.000,A. Frazier2B,3,1,1,1,0,1,0,.231,.355,.231
1882,J. Abreu1B,3,0,0,1,0,0,1,.054,.122,.054,H. RenfroeRF,3,1,1,2,0,1,0,.171,.237,.286
1883,J. MeyersCF,4,0,0,0,0,0,0,.200,.259,.440,K. IsbelCF,3,1,1,0,0,0,1,.235,.257,.353
1884,team,35,2,9,2,0,3,4,,,,G. HampsonCF-SS,1,1,1,1,0,0,0,.143,.200,.214
1885,,,,,,,,,,,,team,33,11,11,11,1,6,5,,,
1886,gameId: 401568646,,,,,,,,,,,,,,,,,,,,,
1887,M. Betts2B-SS,5,1,1,0,0,0,0,.364,.507,.727,E. Julien2B,4,3,3,2,2,0,1,.188,.257,.500
1888,S. OhtaniDH,3,0,1,0,0,1,0,.333,.377,.635,C. CorreaSS,4,0,2,0,0,0,1,.324,.452,.471
1889,F. Freeman1B,3,0,1,0,0,1,0,.333,.448,.444,A. KirilloffRF,3,0,0,0,0,1,1,.324,.385,.647
1890,T. HernándezRF,4,0,2,1,0,0,2,.298,.355,.561,W. CastroPR-LF,0,0,0,0,0,0,0,.111,.250,.111
1891,M. Muncy3B,4,1,1,1,1,0,2,.250,.333,.423,B. BuxtonDH,4,0,1,1,0,0,2,.237,.293,.316
1892,E. HernándezLF,4,0,1,0,0,0,1,.192,.214,.192,M. MargotLF-RF,3,0,0,0,0,1,2,.235,.316,.412
1893,J. OutmanCF,3,0,1,0,0,0,1,.186,.286,.349,A. MartinCF,2,0,0,0,0,1,0,.222,.364,.444
1894,bC. TaylorPH,1,0,0,0,0,0,1,.037,.188,.037,C. Santana1B,3,0,0,0,0,0,2,.125,.222,.156
1895,M. RojasSS,2,0,0,0,0,0,1,.278,.278,.611,C. VazquezC,2,0,0,0,0,1,1,.133,.176,.133
1896,aG. LuxPH-2B,1,0,0,0,0,0,1,.175,.233,.200,K. Farmer3B,2,0,0,0,0,1,0,.000,.222,.000
1897,cW. SmithPH,1,0,1,0,0,0,0,.412,.436,.549,team,27,3,6,3,2,5,10,,,
1898,T. TrammellPR,0,0,0,0,0,0,0,.000,.000,.000,,,,,,,,,,,
1899,A. BarnesC,3,0,0,0,0,1,2,.333,.455,.333,,,,,,,,,,,
1900,team,34,2,9,2,1,3,11,,,,,,,,,,,,,,
1901,gameId: 401568647,,,,,,,,,,,,,,,,,,,,,
1902,L. Arraez2B,5,1,2,1,0,0,0,.250,.339,.327,A. VolpeSS,3,1,1,0,0,2,0,.372,.460,.581
1903,J. Bell1B,3,0,0,0,0,1,1,.188,.304,.271,J. SotoRF,4,0,2,1,0,1,0,.360,.468,.540
1904,E. Rivera1B,0,0,0,0,0,0,0,.143,.250,.143,A. JudgeCF,4,0,0,0,0,1,2,.178,.367,.378
1905,J. Burger3B,4,1,1,3,1,0,2,.260,.291,.480,G. StantonDH,3,1,1,1,1,1,0,.256,.289,.605
1906,J. Chisholm Jr.CF,3,0,0,0,0,1,0,.220,.360,.415,J. JonesPR-DH,0,0,0,0,0,0,0,.000,.000,.000
1907,J. SánchezRF,2,0,0,0,0,2,1,.160,.250,.160,A. Rizzo1B,4,0,1,0,0,0,0,.245,.339,.327
1908,Tim AndersonSS,4,1,1,0,0,0,0,.280,.308,.300,G. Torres2B,2,0,0,0,0,2,2,.192,.295,.231
1909,B. De La CruzDH,4,0,0,0,0,0,3,.255,.268,.327,A. VerdugoLF,4,0,0,0,0,0,2,.200,.288,.356
1910,N. GordonLF,2,1,1,0,0,2,1,.217,.269,.522,J. Berti3B,4,0,1,0,0,0,0,.211,.250,.211
1911,N. FortesC,3,1,1,1,0,0,0,.100,.143,.150,J. TrevinoC,4,0,0,0,0,0,0,.056,.190,.056
1912,team,30,5,6,5,1,6,8,,,,team,32,2,6,2,1,7,6,,,
1913,gameId: 401568648,,,,,,,,,,,,,,,,,,,,,
1914,J. ChourioRF,3,2,1,2,0,1,1,.282,.326,.462,J. IndiaDH,4,0,1,0,0,0,0,.244,.392,.341
1915,W. ContrerasC,4,0,1,2,0,0,0,.364,.431,.591,S. SteerLF,3,0,0,0,0,1,0,.372,.471,.721
1916,C. YelichDH,4,1,1,2,1,1,1,.316,.409,.737,C. Encarnacion-Strand1B,3,1,0,0,0,1,0,.154,.167,.250
1917,W. AdamesSS,4,0,0,0,0,0,3,.227,.306,.409,J. Candelario3B,3,0,0,0,0,0,1,.152,.231,.304
1918,S. FrelickLF,4,0,0,0,0,0,1,.289,.372,.316,S. FairchildCF,3,0,1,1,0,0,0,.304,.385,.304
1919,J. Bauers1B,3,1,0,0,0,0,2,.154,.241,.231,E. De La CruzSS,3,1,2,1,1,0,0,.318,.375,.659
1920,B. PerkinsCF,2,2,1,1,1,1,1,.400,.471,.600,S. Espinal2B,3,0,0,0,0,0,0,.111,.190,.111
1921,J. Ortiz3B,4,0,1,0,0,0,1,.300,.417,.350,W. BensonRF,3,0,0,0,0,0,1,.209,.277,.512
1922,B. Turang2B,4,1,1,0,0,0,2,.342,.381,.526,L. MaileC,3,0,0,0,0,0,0,.118,.250,.294
1923,team,32,7,6,7,2,3,12,,,,team,28,2,4,2,1,2,2,,,
1924,gameId: 401568649,,,,,,,,,,,,,,,,,,,,,
1925,B. NimmoLF,--,--,--,--,--,--,--,--,--,--,R. Acuna Jr.RF,--,--,--,--,--,--,--,--,--,--
1926,S. MarteRF,--,--,--,--,--,--,--,--,--,--,O. Albies2B,--,--,--,--,--,--,--,--,--,--
1927,F. LindorSS,--,--,--,--,--,--,--,--,--,--,A. Riley3B,--,--,--,--,--,--,--,--,--,--
1928,P. Alonso1B,--,--,--,--,--,--,--,--,--,--,M. Olson1B,--,--,--,--,--,--,--,--,--,--
1929,B. Baty3B,--,--,--,--,--,--,--,--,--,--,M. OzunaDH,--,--,--,--,--,--,--,--,--,--
1930,F. AlvarezC,--,--,--,--,--,--,--,--,--,--,A. DuvallLF,--,--,--,--,--,--,--,--,--,--
1931,J. McNeil2B,--,--,--,--,--,--,--,--,--,--,M. Harris IICF,--,--,--,--,--,--,--,--,--,--
1932,D. StewartDH,--,--,--,--,--,--,--,--,--,--,O. ArciaSS,--,--,--,--,--,--,--,--,--,--
1933,H. BaderCF,--,--,--,--,--,--,--,--,--,--,C. TrompC,--,--,--,--,--,--,--,--,--,--
1934,team,--,--,--,--,--,--,--,,,,team,--,--,--,--,--,--,--,,,
1935,gameId: 401568650,,,,,,,,,,,,,,,,,,,,,
1936,A. ToroDH,5,1,3,0,0,0,0,.250,.357,.375,M. Semien2B,4,1,2,1,0,0,1,.313,.411,.438
1937,Z. Gelof2B,5,1,1,1,1,0,0,.239,.327,.457,C. SeagerSS,3,1,0,0,0,1,1,.341,.426,.439
1938,J.D. Davis1B-3B,4,0,1,0,0,0,1,.244,.311,.463,E. CarterLF,4,1,1,0,0,0,1,.189,.362,.378
1939,S. LangeliersC,4,0,0,0,0,0,2,.222,.275,.556,A. GarcíaRF,3,1,3,2,0,1,0,.292,.340,.604
1940,T. NevinLF-1B,4,0,2,1,0,0,1,.231,.286,.231,J. Smith3B,4,1,1,1,0,0,1,.333,.438,.407
1941,J. BledayCF,4,0,1,0,0,0,1,.277,.320,.426,J. HeimC,4,0,2,2,0,0,0,.262,.262,.381
1942,N. AllenSS,3,0,0,0,0,0,1,.171,.216,.229,J. Walsh1B,2,1,0,0,0,2,0,.289,.386,.421
1943,aS. BrownPH-LF,1,0,0,0,0,0,1,.139,.225,.139,T. JankowskiDH,4,0,1,0,0,0,0,.364,.462,.727
1944,D. Hernaiz3B-SS,4,0,1,0,0,0,1,.077,.077,.077,L. TaverasCF,4,0,2,0,0,0,1,.257,.333,.371
1945,L. ButlerRF,3,0,0,0,0,1,1,.147,.256,.206,team,32,6,12,6,0,4,5,,,
1946,team,37,2,9,2,1,1,9,,,,,,,,,,,,,,
1947,gameId: 401568651,,,,,,,,,,,,,,,,,,,,,
1948,K. SchwarberDH,4,1,1,0,0,1,2,.208,.296,.333,B. DonovanLF,3,1,1,1,1,1,0,.256,.396,.488
1949,T. TurnerSS,3,0,0,0,0,2,3,.277,.358,.319,W. ContrerasDH,3,1,1,0,0,1,2,.231,.394,.500
1950,B. Harper1B,4,0,0,0,0,1,0,.214,.313,.476,N. Gorman2B,2,0,0,0,0,2,0,.213,.302,.447
1951,J.T. RealmutoC,5,2,2,0,0,0,0,.289,.341,.447,N. Arenado3B,4,0,1,1,0,0,0,.245,.268,.302
1952,A. Bohm3B,4,1,1,1,0,1,3,.238,.347,.333,I. HerreraC,4,1,1,1,1,0,0,.290,.294,.581
1953,B. MarshLF,4,0,1,1,0,0,2,.333,.359,.583,A. Burleson1B,4,0,2,0,0,0,0,.256,.293,.308
1954,N. CastellanosRF,4,0,1,1,0,0,2,.163,.265,.163,M. SianiPR,0,0,0,0,0,0,0,.143,.333,.429
1955,B. Stott2B,4,0,1,0,0,0,1,.211,.311,.237,B. CrawfordSS,2,0,0,0,0,0,1,.125,.300,.125
1956,J. RojasCF,4,0,1,0,0,0,0,.161,.235,.194,aM. WinnPH-SS,2,0,0,0,0,0,1,.314,.324,.400
1957,team,36,4,8,3,0,5,13,,,,J. WalkerRF,4,0,0,0,0,0,0,.162,.238,.243
1958,,,,,,,,,,,,V. Scott IICF,3,0,1,0,0,0,0,.091,.163,.136
1959,,,,,,,,,,,,team,31,3,7,3,2,4,4,,,
1960,gameId: 401568652,,,,,,,,,,,,,,,,,,,,,
1961,Y. Diaz1B,4,1,1,0,0,0,0,.208,.259,.302,L. Rengifo2B,5,0,1,0,0,0,1,.333,.357,.407
1962,R. ArozarenaLF,4,1,1,0,0,0,2,.217,.280,.370,M. MoniakRF,4,0,0,0,0,1,3,.160,.276,.200
1963,R. PalaciosRF,4,1,2,0,0,0,2,.227,.414,.364,M. TroutDH,3,0,2,0,0,1,0,.318,.400,.795
1964,I. Paredes3B,3,0,0,1,0,0,1,.267,.333,.556,T. WardLF,3,0,1,0,0,1,0,.306,.333,.531
1965,C. Mead2B,4,0,0,0,0,0,1,.250,.323,.250,M. Sano3B,4,0,0,0,0,0,3,.222,.344,.296
1966,A. ShentonDH,4,0,0,0,0,0,2,.167,.231,.250,B. Drury1B,4,0,0,0,0,0,1,.154,.250,.179
1967,J. CaballeroSS,3,1,1,1,1,0,2,.351,.375,.514,J. AdellCF,4,1,2,1,1,0,0,.267,.294,.600
1968,J. SiriCF,3,0,1,0,0,0,2,.268,.400,.439,M. ThaissC,4,1,2,0,0,0,2,.500,.571,.667
1969,B. RortvedtC,3,0,1,0,0,0,0,.368,.455,.474,Z. NetoSS,4,0,1,1,0,0,2,.205,.244,.256
1970,team,32,4,7,2,1,0,12,,,,team,35,2,9,2,1,3,12,,,
1971,gameId: 401568654,,,,,,,,,,,,,,,,,,,,,
1972,C. AbramsSS,4,0,0,0,0,0,0,.306,.359,.611,A. SlaterRF,3,0,1,1,0,0,1,.100,.250,.100
1973,L. ThomasRF,4,0,0,0,0,0,1,.191,.264,.255,aL. Wade Jr.PH-RF,1,0,1,1,0,0,0,.364,.447,.455
1974,J. WinkerDH,3,0,0,0,0,1,1,.281,.465,.344,W. Flores1B,3,0,0,1,0,0,0,.241,.303,.276
1975,J. Gallo1B,3,1,1,1,1,1,1,.179,.319,.487,M. ConfortoLF,4,0,2,1,0,0,1,.326,.380,.609
1976,E. RosarioLF,3,0,1,0,0,0,0,.160,.154,.320,J. SolerDH,4,0,0,0,0,0,1,.191,.304,.383
1977,T. Lipscomb3B,2,0,0,0,0,0,1,.231,.262,.308,M. Chapman3B,4,2,2,0,0,0,0,.208,.263,.358
1978,L. Garcia Jr.2B,3,0,1,0,0,0,0,.323,.344,.484,T. MurphyC,4,0,0,0,0,0,0,.077,.200,.154
1979,D. MillasC,3,0,1,0,0,0,0,.333,.333,.333,T. Estrada2B,4,0,0,0,0,0,0,.160,.173,.240
1980,J. YoungCF,3,0,0,0,0,0,1,.143,.217,.143,N. AhmedSS,3,3,3,2,0,0,0,.282,.317,.359
1981,team,28,1,4,1,1,2,5,,,,T. FitzgeraldCF,3,2,3,1,0,0,0,.500,.571,.667
1982,,,,,,,,,,,,team,33,7,12,7,0,0,3,,,
1983,gameId: 401568655,,,,,,,,,,,,,,,,,,,,,
1984,G. HendersonSS,5,1,1,2,1,0,3,.229,.296,.521,J. DuranCF-LF-CF,5,1,2,1,0,0,1,.333,.377,.421
1985,A. RutschmanC,5,0,1,0,0,0,0,.271,.333,.313,T. O'NeillLF-RF,4,0,0,0,0,1,1,.308,.460,.769
1986,A. SantanderRF,4,1,1,2,1,0,0,.216,.226,.431,M. YoshidaDH-LF,5,0,1,1,0,0,0,.222,.300,.267
1987,A. HaysRF,1,0,0,0,0,0,1,.071,.161,.071,T. Casas1B,5,1,1,0,0,0,1,.260,.339,.420
1988,R. O'HearnDH,4,1,1,0,0,1,0,.321,.424,.571,W. AbreuRF,3,0,2,1,0,0,0,.190,.261,.238
1989,R. Mountcastle1B,4,1,1,0,0,1,1,.298,.364,.468,aC. WongPH-2B-C,1,1,1,1,1,0,0,.350,.350,.550
1990,C. MullinsCF,3,1,1,1,0,2,0,.211,.295,.395,En. Valdez2B,2,0,0,0,0,1,1,.108,.146,.189
1991,C. CowserLF,5,2,3,4,2,0,0,.458,.462,.917,C. Rafaela2B-CF-2B,1,0,0,0,0,0,0,.189,.238,.324
1992,J. Westburg3B,3,0,0,0,0,2,1,.216,.310,.459,R. McGuireC,4,0,0,0,0,0,2,.267,.333,.500
1993,J. Holliday2B,4,2,0,0,0,0,2,.000,.000,.000,I. CampbellP,0,0,0,0,0,0,0,.000,.000,.000
1994,team,38,9,9,9,4,6,8,,,,D. HamiltonSS,4,0,1,0,0,0,1,.273,.333,.545
1995,,,,,,,,,,,,P. Reyes3B,4,1,0,0,0,0,0,.136,.174,.136
1996,,,,,,,,,,,,team,38,4,8,4,1,2,7,,,
1997,gameId: 401568656,,,,,,,,,,,,,,,,,,,,,
1998,J. Altuve2B,4,0,3,0,0,1,0,.370,.452,.648,M. Garcia3B,5,2,2,2,0,0,1,.226,.259,.472
1999,Y. AlvarezLF,3,0,0,1,0,1,1,.327,.393,.600,B. Witt Jr.SS,5,4,4,5,2,0,0,.358,.414,.755
2000,aJ. MeyersPH-LF,1,0,0,0,0,0,1,.192,.250,.423,G. HampsonSS,0,0,0,0,0,0,0,.143,.200,.214
2001,K. TuckerRF,4,0,0,0,0,1,1,.241,.313,.379,V. PasquantinoDH,5,1,3,3,0,0,0,.222,.308,.333
2002,A. Bregman3B,5,0,1,0,0,0,0,.241,.305,.333,S. Perez1B,3,0,1,0,0,0,1,.333,.370,.471
2003,Y. DiazDH,5,1,2,1,1,0,0,.333,.382,.549,aD. BlancoPH-RF,1,0,0,0,0,0,0,.000,.200,.000
2004,J. Singleton1B,3,0,1,0,0,2,1,.211,.318,.263,M. MelendezRF-1B,4,1,1,0,0,1,0,.325,.426,.675
2005,J. PenaSS,5,1,1,0,0,0,0,.315,.339,.444,N. VelazquezLF,5,1,1,1,0,0,2,.325,.372,.550
2006,V. CaratiniC,4,1,1,0,0,0,1,.313,.313,.563,N. Loftin2B,3,2,1,2,0,1,0,.176,.333,.176
2007,M. DubonCF,4,0,2,1,0,0,1,.261,.292,.348,F. FerminC,4,1,1,0,0,0,0,.200,.200,.250
2008,team,38,3,11,3,1,5,6,,,,K. IsbelCF,4,1,2,0,0,0,0,.263,.282,.368
2009,,,,,,,,,,,,team,39,13,16,13,2,2,4,,,
2010,gameId: 401568657,,,,,,,,,,,,,,,,,,,,,
2011,B. NimmoLF,5,2,2,2,0,0,0,.233,.377,.465,R. Acuna Jr.RF,4,0,0,0,0,0,1,.233,.353,.279
2012,aT. TaylorPH-LF,1,1,1,4,1,0,0,.300,.364,.467,F. WallRF,1,0,0,0,0,0,0,.000,.000,.000
2013,S. MarteRF,5,2,2,0,0,1,0,.271,.340,.354,O. Albies2B,5,0,2,0,0,0,0,.319,.373,.532
2014,F. LindorSS,6,1,1,0,0,0,0,.098,.203,.176,A. Riley3B,5,1,1,0,0,0,1,.277,.333,.489
2015,Z. ShortSS,0,0,0,0,0,0,0,.333,.333,.333,M. Olson1B,5,0,1,0,0,0,3,.283,.353,.652
2016,P. Alonso1B,4,2,2,0,0,1,0,.220,.291,.420,M. OzunaDH,2,0,1,0,0,2,0,.326,.367,.696
2017,B. Baty3B,5,0,1,1,0,0,1,.311,.354,.378,A. DuvallLF,4,1,2,1,0,0,1,.294,.368,.353
2018,F. AlvarezC,5,2,2,2,0,0,1,.297,.333,.486,M. Harris IICF,4,0,1,0,0,0,0,.341,.396,.568
2019,J. McNeil2B,3,2,2,3,0,2,0,.200,.333,.314,O. ArciaSS,3,1,0,0,0,1,0,.357,.413,.476
2020,D. StewartDH,5,1,1,2,1,0,1,.105,.370,.421,C. TrompC,4,1,2,2,0,0,1,.200,.182,.300
2021,H. BaderCF,5,3,2,0,0,0,0,.257,.278,.257,team,37,4,10,3,0,3,7,,,
2022,team,44,16,16,14,2,4,3,,,,,,,,,,,,,,
2023,gameId: 401568660,,,,,,,,,,,,,,,,,,,,,
2024,A. Toro3B,4,0,1,0,0,0,2,.250,.344,.357,M. Semien2B,3,0,0,0,0,1,1,.294,.400,.412
