Unnamed: 0,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
191,gameId: 401694926,,,,,,,,,,,,,,,,,,,,,
192,J. ProfarLF,4,1,1,0,0,0,0,0.222,0.222,0.222,F. Tatis Jr.RF,4,1,1,1,1,0,0,0.5,0.5,0.875
193,A. Riley3B,3,1,1,0,0,1,1,0.25,0.333,0.75,L. Arraez1B,3,0,0,0,0,1,0,0,0.143,0
194,M. Olson1B,3,0,0,0,0,1,2,0.2,0.556,0.2,M. Machado3B,4,0,0,0,0,0,1,0.286,0.375,0.571
195,M. OzunaDH,3,0,1,2,0,1,2,0.333,0.556,0.333,J. MerrillCF,4,1,3,0,0,0,0,0.571,0.5,0.571
196,O. Albies2B,3,0,0,0,0,1,1,0.125,0.222,0.5,J. Cronenworth2B,3,1,2,1,1,1,0,0.286,0.375,0.714
197,M. Harris IICF,4,0,0,0,0,0,2,0.125,0.125,0.125,X. BogaertsSS,4,1,1,1,0,0,1,0.286,0.375,0.429
198,D. BaldwinC,4,0,0,0,0,0,1,0,0.125,0,G. SheetsDH,4,0,1,0,0,0,0,0.4,0.4,1
199,N. AllenSS,4,0,1,0,0,0,1,0.25,0.25,0.25,J. HeywardLF,4,0,0,0,0,0,0,0,0,0
200,J. KelenicRF,4,1,1,1,1,0,3,0.125,0.125,0.5,M. MaldonadoC,3,0,2,1,0,0,1,0.5,0.5,0.5
201,team,32,3,5,3,1,4,13,,,,team,33,4,10,4,2,2,3,,,
202,gameId: 401694927,,,,,,,,,,,,,,,,,,,,,
203,I. HappLF,3,0,0,0,0,1,0,0.267,0.421,0.533,C. CarrollRF,4,0,0,0,0,0,1,0.143,0.4,0.286
204,K. TuckerRF,3,0,0,0,0,1,1,0.125,0.263,0.188,K. Marte2B,5,1,2,0,0,0,1,0.4,0.4,0.6
205,S. SuzukiDH,4,0,1,0,0,0,2,0.118,0.167,0.176,L. Gurriel Jr.LF,5,2,2,0,0,0,0,0.2,0.2,0.3
206,M. Busch1B,4,0,0,0,0,0,1,0.143,0.25,0.143,J. Naylor1B,4,0,1,1,0,0,0,0.222,0.222,0.222
207,D. SwansonSS,3,1,1,0,0,1,0,0.214,0.313,0.286,P. SmithDH,4,2,3,1,0,0,1,0.6,0.667,1
208,N. Hoerner2B,4,0,0,0,0,0,0,0.25,0.333,0.25,E. Suarez3B,4,2,2,4,2,0,0,0.429,0.5,1.714
