Unnamed: 0,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
620,,,,,,,,,,,,team,30,4,6,4,0,3,7,,,
621,gameId: 401695130,,,,,,,,,,,,,,,,,,,,,
622,H. RamosLF,5,0,0,0,0,0,3,0.206,0.254,0.413,B. RiceDH,5,0,1,1,0,0,1,0.298,0.411,0.638
623,W. AdamesSS,3,1,0,0,0,1,2,0.186,0.269,0.237,A. JudgeRF,3,1,1,0,0,1,1,0.357,0.478,0.75
624,J. LeeCF,3,2,2,4,2,1,0,0.352,0.426,0.704,C. BellingerCF,4,0,0,0,0,0,1,0.196,0.245,0.304
625,W. FloresDH,4,0,0,0,0,0,2,0.255,0.281,0.582,P. Goldschmidt1B,3,0,1,1,0,1,1,0.357,0.403,0.482
626,M. Chapman3B,2,0,0,0,0,2,1,0.176,0.354,0.333,J. Chisholm Jr.2B,4,1,1,1,1,0,1,0.169,0.246,0.458
627,L. MatosRF,2,0,0,0,0,0,0,0.263,0.3,0.474,A. VolpeSS,3,0,0,0,0,1,2,0.226,0.333,0.509
628,aM. YastrzemskiPH-RF,2,0,0,0,0,0,0,0.3,0.44,0.525,J. DominguezLF,3,1,1,0,0,1,1,0.239,0.327,0.391
629,C. Schmitt1B,4,1,1,0,0,0,1,0.2,0.25,0.333,J.C. EscarraC,4,1,1,1,0,0,1,0.167,0.286,0.333
630,P. BaileyC,3,0,0,0,0,1,3,0.189,0.268,0.351,O. Cabrera3B,3,0,0,0,0,0,0,0.273,0.333,0.273
631,C. Koss2B,4,1,1,0,0,0,2,0.1,0.182,0.1,aA. WellsPH,1,0,0,0,0,0,0,0.205,0.28,0.432
632,team,32,5,4,4,2,5,14,,,,team,33,4,6,4,1,4,9,,,
633,gameId: 401695131,,,,,,,,,,,,,,,,,,,,,
634,B. BichetteSS,6,0,2,1,0,0,1,0.314,0.364,0.386,G. HendersonSS,5,2,3,0,0,0,1,0.206,0.229,0.294
635,V. Guerrero Jr.1B,5,0,2,1,0,0,1,0.302,0.366,0.365,A. RutschmanC,5,0,1,1,0,0,1,0.259,0.344,0.463
636,A. SantanderRF,5,0,1,0,0,0,1,0.19,0.282,0.27,J. MateoPR,0,0,0,0,0,0,0,0,0,0
637,N. LukesPR-RF,0,0,0,0,0,0,0,0.19,0.346,0.238,G. SanchezC,0,0,0,0,0,0,0,0.067,0.167,0.067
638,G. SpringerDH,3,0,0,0,0,0,1,0.375,0.436,0.604,R. O'HearnDH,5,0,1,0,0,0,1,0.256,0.341,0.41
639,aW. WagnerPH-DH,2,0,0,0,0,0,0,0.2,0.289,0.25,J. Westburg3B,5,0,0,0,0,0,2,0.231,0.298,0.404
640,A. Gimenez2B,5,2,2,0,0,0,0,0.241,0.338,0.448,C. MullinsCF,3,0,0,0,0,2,2,0.277,0.414,0.553
641,A. KirkC,4,1,2,2,1,0,1,0.261,0.286,0.37,T. O'NeillRF,5,1,1,1,1,0,2,0.289,0.365,0.533
642,T. HeinemanPR-C,1,1,0,0,0,0,0,0.474,0.5,0.684,H. KjerstadLF,4,1,1,0,0,0,2,0.222,0.237,0.361
643,E. Clement3B,5,2,4,0,0,0,0,0.194,0.268,0.25,R. LaureanoLF,1,0,0,0,0,0,1,0.1,0.182,0.1
644,M. StrawCF,4,0,2,2,0,0,0,0.375,0.4,0.458,R. Mountcastle1B,4,2,2,1,1,0,1,0.271,0.3,0.375
645,D. SchneiderLF,2,1,1,1,0,2,0,0.067,0.333,0.067,J. Holliday2B,4,0,0,0,0,0,0,0.213,0.229,0.34
646,bA. RodenPH-LF,1,0,0,0,0,0,0,0.25,0.326,0.3,team,41,6,9,3,2,2,13,,,
647,team,43,7,16,7,1,2,5,,,,,,,,,,,,,,
648,gameId: 401695132,,,,,,,,,,,,,,,,,,,,,
649,A. CallRF,4,1,1,1,0,1,0,0.367,0.5,0.5,X. EdwardsSS,4,1,1,0,0,1,1,0.31,0.406,0.362
650,J. WoodLF,2,0,0,0,0,3,1,0.259,0.385,0.593,O. Lopez2B,4,1,1,1,0,1,0,0.232,0.317,0.393
651,K. RuizC,5,0,2,0,0,0,0,0.373,0.439,0.529,K. StowersRF,5,3,3,2,0,0,2,0.314,0.41,0.471
652,N. LoweDH,4,0,1,1,0,1,1,0.25,0.339,0.5,E. Wagaman1B,3,2,3,0,0,2,0,0.231,0.318,0.359
653,J. Bell1B,4,0,0,0,0,1,3,0.167,0.31,0.333,D. HillCF,4,1,0,0,0,0,1,0.184,0.262,0.316
654,L. Garcia Jr.2B,4,1,2,0,0,0,0,0.208,0.22,0.313,J. BrideDH,3,0,1,1,0,0,1,0.1,0.2,0.1
655,A. Rosario3B,3,1,1,0,0,1,0,0.31,0.333,0.483,bM. MervisPH-DH,2,1,1,3,1,0,1,0.294,0.342,0.735
656,P. DeJongSS,4,1,1,1,0,0,0,0.188,0.22,0.271,G. ConineLF,3,1,2,2,0,2,1,0.304,0.385,0.435
657,J. YoungCF,3,0,2,1,0,1,0,0.25,0.4,0.286,J. Sanoja3B,5,0,2,1,0,0,2,0.296,0.345,0.296
658,team,33,4,10,4,0,8,5,,,,R. BrantlyC,2,0,0,0,0,0,0,0,0,0
659,,,,,,,,,,,,aL. HicksPH-C,0,1,0,1,0,1,0,0.214,0.303,0.25
660,,,,,,,,,,,,team,35,11,14,11,1,7,9,,,
661,gameId: 401695133,,,,,,,,,,,,,,,,,,,,,
662,T. WardLF,5,1,1,1,1,0,3,0.234,0.275,0.484,J. AltuveLF,3,0,0,1,0,0,0,0.302,0.338,0.444
663,L. Rengifo3B,4,0,1,0,0,0,1,0.259,0.305,0.407,I. Paredes3B,4,1,1,3,1,0,2,0.276,0.382,0.448
664,M. TroutDH,4,0,0,0,0,0,3,0.196,0.299,0.536,Y. AlvarezDH,3,0,1,0,0,1,0,0.235,0.354,0.333
665,J. SolerRF,4,1,2,1,1,0,1,0.241,0.317,0.5,C. Walker1B,2,1,0,0,0,2,1,0.164,0.281,0.236
666,T. d'ArnaudC,4,0,0,0,0,0,2,0.111,0.158,0.111,V. CaratiniC,2,1,1,0,0,1,0,0.238,0.333,0.286
667,N. Schanuel1B,4,1,2,1,1,0,2,0.298,0.365,0.491,J. PenaSS,4,0,1,1,0,0,0,0.204,0.29,0.333
668,K. Paris2B,3,0,0,0,0,0,1,0.368,0.467,0.842,J. MeyersCF,4,1,0,0,0,0,0,0.25,0.326,0.3
669,J. AdellCF,4,0,0,0,0,0,3,0.19,0.261,0.357,C. SmithRF,3,1,1,1,0,0,0,0.229,0.308,0.371
670,K. NewmanSS,2,0,1,0,0,0,0,0.1,0.1,0.1,C. McCormickRF,0,0,0,0,0,0,0,0.2,0.385,0.2
671,aL. O'HoppePH,1,0,1,0,0,0,0,0.333,0.347,0.667,M. Dubon2B,2,2,1,1,0,1,0,0.105,0.19,0.158
672,Tim AndersonSS,1,0,1,0,0,0,0,0.167,0.211,0.194,team,27,7,6,7,1,5,3,,,
673,team,36,3,9,3,3,0,16,,,,,,,,,,,,,,
674,gameId: 401695134,,,,,,,,,,,,,,,,,,,,,
675,G. Torres2B,4,0,1,0,0,0,1,0.4,0.471,0.6,E. Julien2B,4,1,1,1,1,0,1,0.282,0.333,0.436
676,K. CarpenterRF,3,0,2,0,0,0,1,0.25,0.288,0.542,B. BuxtonCF,4,2,2,1,1,0,0,0.192,0.25,0.423
677,R. GreeneLF-CF,4,0,0,0,0,0,3,0.233,0.27,0.45,W. CastroSS,4,1,2,0,0,0,0,0.236,0.311,0.382
678,S. Torkelson1B,4,1,1,1,1,0,2,0.309,0.409,0.673,M. WallnerRF,4,0,1,1,0,0,2,0.231,0.355,0.423
679,C. KeithDH,4,0,0,0,0,0,2,0.188,0.35,0.229,D. Keirsey Jr.PR-RF,0,0,0,0,0,0,0,0,0,0
680,Z. McKinstry3B,4,0,0,0,0,0,2,0.298,0.382,0.447,T. France1B,4,1,2,1,0,0,0,0.298,0.355,0.456
681,D. DinglerC,4,0,0,0,0,0,0,0.343,0.361,0.6,R. JeffersC,3,0,0,0,0,1,0,0.2,0.263,0.229
682,T. SweeneySS,2,0,1,0,0,1,0,0.227,0.306,0.386,T. LarnachDH,4,0,0,0,0,0,0,0.189,0.279,0.208
683,R. KreidlerCF,2,0,0,0,0,0,1,0.111,0.172,0.111,B. Lee3B,3,0,1,1,0,0,0,0.333,0.333,0.333
684,aJ. MalloyPH-LF,1,0,0,0,0,0,0,0.207,0.375,0.276,H. BaderLF,3,0,0,0,0,0,0,0.209,0.244,0.442
685,team,32,1,5,1,1,1,12,,,,team,33,5,9,5,2,1,3,,,
686,gameId: 401695136,,,,,,,,,,,,,,,,,,,,,
687,T. TurnerSS,4,0,0,0,0,0,0,0.24,0.321,0.34,L. NootbaarLF,4,0,0,0,0,0,1,0.259,0.386,0.379
688,B. Harper1B,4,0,1,0,0,0,1,0.25,0.373,0.393,A. BurlesonDH,3,0,0,0,0,0,1,0.261,0.32,0.326
689,K. SchwarberDH,3,0,0,0,0,1,2,0.273,0.412,0.655,aL. BakerPH-DH,1,0,0,0,0,0,1,0.278,0.381,0.389
690,N. CastellanosRF,3,0,0,0,0,0,2,0.291,0.339,0.491,B. DonovanSS,4,1,1,0,0,0,1,0.35,0.385,0.517
691,aK. ClemensPH,1,0,0,0,0,0,0,0,0.333,0,N. Arenado3B,4,2,2,1,0,0,0,0.283,0.387,0.415
692,J.T. RealmutoC,3,0,1,0,0,0,0,0.238,0.319,0.31,W. Contreras1B,4,2,2,2,1,0,0,0.158,0.213,0.263
693,A. Bohm3B,3,0,0,0,0,0,0,0.15,0.164,0.167,N. Gorman2B,3,0,1,1,0,1,0,0.417,0.5,0.833
694,E. Sosa2B,3,0,1,0,0,0,1,0.444,0.464,0.593,J. WalkerRF,4,1,2,2,1,0,1,0.275,0.351,0.392
695,B. MarshLF,3,0,0,0,0,0,2,0.108,0.25,0.189,Y. PozoC,4,1,1,0,0,0,1,0.417,0.417,0.833
696,J. RojasCF,3,0,0,0,0,0,1,0.308,0.4,0.308,V. Scott IICF,2,0,1,0,0,0,0,0.275,0.333,0.412
697,team,30,0,3,0,0,1,9,,,,team,33,7,10,6,2,1,6,,,
698,gameId: 401695137,,,,,,,,,,,,,,,,,,,,,
699,I. HappLF,5,0,0,0,0,0,1,0.208,0.303,0.286,S. OhtaniDH,5,0,0,0,0,0,1,0.273,0.377,0.5
700,K. TuckerRF,4,1,1,0,0,0,0,0.324,0.442,0.648,M. BettsSS,3,0,1,0,0,1,1,0.288,0.383,0.481
701,J. TurnerDH,3,0,0,0,0,1,3,0.208,0.333,0.208,T. EdmanCF,3,0,1,0,0,1,0,0.25,0.29,0.563
702,G. WorkmanPR-DH,0,0,0,0,0,0,0,0.222,0.3,0.333,T. HernándezRF,4,0,0,0,0,0,2,0.281,0.309,0.563
703,M. Busch1B,4,1,2,1,1,0,1,0.315,0.393,0.593,M. ConfortoLF,4,2,2,0,0,0,2,0.224,0.345,0.429
704,D. SwansonSS,4,0,0,0,0,0,1,0.188,0.25,0.406,W. SmithC,4,0,2,0,0,0,0,0.341,0.481,0.488
705,N. Hoerner2B,4,0,1,1,0,0,1,0.291,0.344,0.309,M. Muncy3B,2,0,0,1,0,1,2,0.176,0.232,0.255
706,P. Crow-ArmstrongCF,4,2,3,2,2,0,1,0.229,0.289,0.4,E. Hernández1B,4,0,1,1,0,0,2,0.114,0.167,0.386
707,C. KellyC,0,0,0,0,0,1,0,0.417,0.595,1.042,M. Rojas2B,3,0,0,0,0,0,0,0.161,0.188,0.161
708,M. AmayaC,2,0,0,0,0,0,2,0.263,0.275,0.447,aF. FreemanPH,1,0,0,0,0,0,0,0.211,0.25,0.579
709,M. Shaw3B,4,0,1,0,0,0,3,0.164,0.292,0.236,team,33,2,7,2,0,3,10,,,
710,team,34,4,8,4,3,2,13,,,,,,,,,,,,,,
711,gameId: 401695138,,,,,,,,,,,,,,,,,,,,,
,,5,1,1,0,0,0,1,0.25,0.364,0.286,M. Harris IICF,3,0,1,1,0,0,0,0.25,0.263,0.389
,B. Harper1B,4,1,1,0,0,1,1,0.275,0.356,0.4,O. Albies2B,4,0,1,0,0,1,1,0.2,0.256,0.325
,A. Bohm3B,5,1,1,0,0,0,1,0.2,0.22,0.225,M. OzunaDH,4,1,1,0,0,1,1,0.241,0.488,0.379
,K. SchwarberDH,3,2,3,3,1,1,0,0.324,0.444,0.811,M. Olson1B,5,0,1,0,0,0,1,0.229,0.372,0.4
,N. CastellanosRF,4,0,3,2,0,0,0,0.314,0.385,0.571,A. Riley3B,5,1,2,1,0,0,2,0.175,0.233,0.325
,J.T. RealmutoC,3,0,0,0,0,1,1,0.214,0.29,0.321,B. De La CruzLF,4,1,1,0,0,0,1,0.182,0.25,0.182
,E. SosaLF,3,0,0,0,0,0,2,0.478,0.5,0.652,E. WhiteLF,0,0,0,0,0,0,0,0.2,0.2,0.2
,aB. MarshPH-LF,1,0,0,0,0,0,1,0.167,0.31,0.292,J. KelenicRF,1,2,1,0,0,3,0,0.185,0.267,0.296
,B. Stott2B,4,0,0,0,0,0,1,0.25,0.314,0.406,S. MurphyC,4,1,2,4,1,0,1,0.5,0.5,1.25
,J. RojasCF,3,0,0,0,0,0,1,0.444,0.5,0.444,O. ArciaSS,3,1,1,0,0,1,1,0.188,0.235,0.25
,bM. KeplerPH,1,0,0,0,0,0,0,0.172,0.333,0.345,team,33,7,11,6,1,6,8,,,
,team,36,5,9,5,1,3,9,,,,,,,,,,,,,,
,gameId: 401695067,,,,,,,,,,,,,,,,,,,,,
,V. Scott IILF,5,1,2,2,0,0,1,0.297,0.372,0.486,J. SuwinskiLF,2,0,0,0,0,0,1,0.13,0.231,0.174
,W. ContrerasDH,4,0,0,0,0,0,3,0.093,0.17,0.14,aA. CanarioPH-RF,2,1,1,0,0,0,0,0.077,0.077,0.077
,B. Donovan2B,3,1,2,1,0,1,0,0.395,0.438,0.605,B. ReynoldsDH,4,2,2,1,1,0,1,0.208,0.255,0.396
,N. Arenado3B,3,1,0,0,0,1,0,0.342,0.444,0.5,O. CruzCF,2,0,0,0,0,0,1,0.211,0.36,0.395
,A. Burleson1B,4,0,1,1,0,0,1,0.278,0.316,0.333,cA. McCutchenPH,1,0,0,1,0,0,0,0.333,0.407,0.542
,J. WalkerRF,4,0,0,0,0,0,3,0.263,0.364,0.342,K. Hayes3B,4,0,0,0,0,0,1,0.238,0.304,0.381
,P. PagesC,4,1,1,1,0,0,0,0.304,0.304,0.565,E. Valdez1B,2,0,1,0,0,0,1,0.188,0.235,0.375
,M. SianiCF,4,0,0,0,0,0,1,0.125,0.222,0.125,bJ. BartPH-C,2,0,1,1,0,0,1,0.265,0.359,0.441
,M. WinnSS,4,1,1,0,0,0,1,0.244,0.326,0.317,T. PhamRF-LF,4,0,0,0,0,0,2,0.108,0.209,0.135
,team,35,5,7,5,0,2,10,,,,E. RodriguezC-1B,3,0,1,0,0,0,0,0.2,0.294,0.3
,,,,,,,,,,,,A. Frazier2B,3,0,0,0,0,0,1,0.182,0.243,0.182
,,,,,,,,,,,,I. Kiner-FalefaSS,3,0,0,0,0,0,0,0.316,0.409,0.342
,,,,,,,,,,,,team,32,3,6,3,1,0,9,,,
,gameId: 401695068,,,,,,,,,,,,,,,,,,,,,
,B. BichetteSS,4,0,3,3,0,1,0,0.314,0.375,0.392,J. DuranLF,3,0,0,0,0,1,3,0.231,0.281,0.327
,V. Guerrero Jr.1B,4,0,0,0,0,0,0,0.255,0.345,0.319,R. DeversDH,4,0,1,0,0,0,1,0.244,0.364,0.378
,A. SantanderDH,5,0,0,1,0,0,2,0.178,0.302,0.2,A. Bregman3B,4,0,0,0,0,0,2,0.308,0.345,0.519
,G. SpringerRF,4,1,2,1,1,1,1,0.459,0.524,0.73,R. RefsnyderRF,4,0,1,0,0,0,1,0.4,0.455,0.4
,E. Clement3B,5,0,1,0,0,0,1,0.125,0.241,0.167,T. StorySS,4,0,2,0,0,0,1,0.273,0.304,0.432
,D. Schneider2B,3,1,0,0,0,0,2,0,0.188,0,K. Campbell2B,4,0,1,0,0,0,1,0.351,0.457,0.622
,aA. GimenezPH-2B,2,0,0,0,0,0,0,0.22,0.34,0.488,R. Gonzalez1B,4,1,1,0,0,0,1,0.467,0.5,0.667
,M. StrawCF,4,2,1,0,0,1,1,0.333,0.368,0.444,C. NarvaezC,2,0,0,0,0,0,1,0.3,0.417,0.45
,T. HeinemanC,3,2,2,0,0,1,0,0.429,0.467,0.714,aW. AbreuPH,1,0,0,0,0,0,0,0.412,0.524,0.765
,A. RodenLF,3,0,0,0,0,1,1,0.241,0.343,0.31,B. SabolC,1,0,0,0,0,0,1,0,0,0
,team,37,6,9,5,1,5,8,,,,C. RafaelaCF,3,0,2,1,0,0,0,0.229,0.308,0.229
,,,,,,,,,,,,team,34,1,8,1,0,1,12,,,
,gameId: 401695069,,,,,,,,,,,,,,,,,,,,,
,M. Semien2B,5,0,0,1,0,0,0,0.111,0.167,0.178,I. HappLF,5,1,0,0,0,0,1,0.2,0.3,0.283
,C. SeagerSS,5,0,2,0,0,0,0,0.194,0.256,0.278,S. SuzukiDH,4,1,3,2,0,1,1,0.286,0.397,0.536
,W. LangfordLF,4,1,2,1,1,0,2,0.244,0.333,0.561,K. TuckerRF,4,2,2,0,0,1,0,0.339,0.464,0.714
,K. PillarLF,1,0,0,0,0,0,0,0.364,0.364,0.455,J. Turner1B,3,1,1,0,0,1,0,0.222,0.348,0.222
,J. PedersonDH,4,0,0,0,0,0,2,0.094,0.216,0.125,J. Berti3B,1,1,0,0,0,0,0,0.25,0.333,0.25
,A. GarcíaRF,4,1,1,0,0,0,0,0.184,0.279,0.421,D. SwansonSS,4,2,2,4,1,0,0,0.226,0.3,0.509
,J. Smith1B,3,2,1,0,0,1,1,0.308,0.438,0.5,N. Hoerner2B,4,0,1,2,0,1,1,0.35,0.422,0.375
,J. Jung3B,4,1,3,1,0,0,1,0.545,0.545,0.818,P. Crow-ArmstrongCF,5,1,3,2,0,0,2,0.222,0.3,0.278
,J. HeimC,4,0,1,2,0,0,3,0.28,0.28,0.52,M. Shaw3B,2,1,0,0,0,1,0,0.182,0.333,0.273
,L. TaverasCF,4,1,2,1,0,0,1,0.219,0.242,0.281,aM. BuschPH-1B,0,0,0,0,0,0,0,0.27,0.386,0.459
,team,38,6,12,6,1,1,10,,,,C. KellyC,3,0,0,0,0,1,0,0.333,0.5,0.762
,,,,,,,,,,,,team,35,10,12,10,1,6,5,,,
,gameId: 401695071,,,,,,,,,,,,,,,,,,,,,
,G. HendersonSS,4,0,0,0,0,0,1,0.143,0.182,0.19,C. CarrollRF,3,2,2,1,1,0,1,0.304,0.407,0.696
,A. RutschmanDH,3,1,1,0,0,1,1,0.262,0.354,0.429,G. PerdomoSS,2,0,0,0,0,2,0,0.293,0.347,0.415
,J. MateoPR-DH,0,0,0,0,0,0,0,0,0,0,P. SmithDH,2,1,1,0,0,1,0,0.36,0.467,0.52
,R. O'Hearn1B,3,1,1,0,0,0,0,0.31,0.375,0.517,aR. GrichukPH-DH,1,0,0,0,0,0,0,0.25,0.318,0.45
,aR. MountcastlePH-1B,1,0,0,0,0,0,0,0.289,0.325,0.342,J. Naylor1B,3,0,1,2,0,1,0,0.302,0.4,0.419
,J. Westburg3B,3,0,0,0,0,0,2,0.256,0.333,0.465,L. Gurriel Jr.LF,4,0,0,0,0,0,1,0.152,0.167,0.326
,C. MullinsCF,4,1,2,2,0,0,1,0.308,0.426,0.615,E. Suarez3B,3,0,0,0,0,1,2,0.15,0.306,0.55
,T. O'NeillRF,2,0,0,0,0,1,0,0.314,0.39,0.543,G. MorenoC,3,0,1,0,0,1,0,0.267,0.353,0.267
,H. KjerstadLF,4,0,0,0,0,0,0,0.231,0.25,0.269,A. ThomasCF,3,0,0,0,0,0,0,0.333,0.346,0.5
,G. SanchezC,2,0,0,0,0,0,0,0.067,0.167,0.067,G. Hampson2B,2,1,0,0,0,1,1,0.111,0.429,0.111
,J. Holliday2B,3,0,0,0,0,0,1,0.27,0.289,0.432,team,26,4,5,3,1,7,5,,,
,team,29,3,4,2,0,2,6,,,,,,,,,,,,,,
,gameId: 401695073,,,,,,,,,,,,,,,,,,,,,
,J. AltuveLF,5,0,1,0,0,1,1,0.34,0.392,0.532,D. Moore3B,5,0,0,0,0,0,3,0.308,0.4,0.538
,I. Paredes3B,5,0,1,0,0,0,1,0.214,0.327,0.238,J. RodriguezCF,4,0,0,0,0,1,1,0.178,0.315,0.422
,M. DubonPR-3B,1,0,0,0,0,0,1,0.083,0.154,0.167,C. RaleighDH,5,0,1,0,0,0,2,0.205,0.314,0.386
,Y. AlvarezDH,3,0,1,0,0,2,0,0.189,0.333,0.297,R. ArozarenaLF,4,0,1,0,0,1,1,0.159,0.288,0.364
,C. Walker1B,5,0,0,0,0,0,2,0.156,0.174,0.244,M. GarverC,4,1,1,0,0,0,2,0.15,0.292,0.15
,J. PenaSS,4,0,1,0,0,1,2,0.154,0.25,0.308,D. Solano1B,2,0,0,0,0,0,1,0.063,0.063,0.063
,B. Rodgers2B,5,1,0,0,0,0,2,0.276,0.344,0.345,aD. CanzonePH-RF,2,0,0,0,0,0,2,0,0,0
,Y. DiazC,3,1,0,0,0,1,0,0.061,0.139,0.061,bM. MastrobuoniPH,1,0,0,0,0,0,0,0.25,0.4,0.25
,C. McCormickPR-RF,0,0,0,0,0,0,0,0.25,0.4,0.25,L. RaleyRF-1B,5,0,1,1,0,0,1,0.179,0.303,0.286
,C. SmithRF,3,0,1,1,0,0,1,0.143,0.25,0.238,R. Bliss2B,5,0,1,0,0,0,4,0.2,0.282,0.314
,aV. CaratiniPH-C,2,0,1,1,0,0,1,0.267,0.267,0.333,J.P. CrawfordSS,3,0,0,0,0,1,2,0.125,0.333,0.125
,J. MeyersCF,5,0,2,0,0,0,1,0.28,0.357,0.36,team,40,1,5,1,0,3,19,,,
,team,41,2,8,2,0,5,12,,,,,,,,,,,,,,
,gameId: 401695075,,,,,,,,,,,,,,,,,,,,,
,T. WardLF,5,0,0,0,0,0,1,0.19,0.222,0.214,Y. DiazDH,4,0,0,0,0,1,1,0.143,0.178,0.19
,L. Rengifo3B,4,1,1,1,0,1,1,0.25,0.317,0.417,B. Lowe2B,5,0,1,0,0,0,3,0.293,0.326,0.512
,M. TroutRF,3,0,0,0,0,2,0,0.171,0.311,0.457,J. Caminero3B,3,1,1,1,1,0,2,0.258,0.294,0.387
,J. SolerDH,4,0,1,0,0,0,2,0.222,0.286,0.444,J. Caballero3B-LF,2,0,1,0,0,0,1,0.267,0.421,0.467
,T. d'ArnaudC,4,0,1,1,0,0,0,0.154,0.214,0.154,J. Aranda1B,2,1,2,0,0,1,0,0.385,0.452,0.731
,N. Schanuel1B,2,1,1,0,0,2,0,0.27,0.357,0.351,aC. MeadPH-1B,1,0,0,0,0,0,1,0.071,0.133,0.143
,K. Paris2B,3,1,1,2,1,1,1,0.429,0.538,0.952,C. MorelLF,4,1,1,1,0,0,2,0.273,0.36,0.318
,J. AdellCF,4,0,0,0,0,0,2,0.185,0.267,0.222,C. Montes3B,0,0,0,0,0,0,0,0,0,0
,Tim AndersonSS,3,0,0,0,0,0,0,0.174,0.174,0.217,K. MisnerCF,2,0,1,1,0,1,1,0.385,0.414,0.692
,aL. O'HoppePH,1,0,1,0,0,0,0,0.367,0.387,0.867,D. JansenC,4,0,0,0,0,0,0,0.042,0.148,0.042
,K. NewmanPR-SS,0,1,0,0,0,0,0,0.077,0.077,0.077,J. MangumRF,4,0,1,0,0,0,0,0.407,0.429,0.481
,team,33,4,6,4,1,6,7,,,,T. WallsSS,3,0,1,0,0,1,0,0.16,0.3,0.16
,,,,,,,,,,,,team,34,3,9,3,1,4,11,,,
,gameId: 401695077,,,,,,,,,,,,,,,,,,,,,
,L. Robert Jr.CF,5,0,0,0,0,0,1,0.154,0.244,0.179,S. KwanLF,2,1,0,0,0,1,0,0.3,0.378,0.4
,A. Vaughn1B,2,1,0,0,0,3,2,0.139,0.225,0.278,J. Ramirez3B,3,1,0,0,0,1,1,0.281,0.4,0.719
,A. SlaterDH,5,0,1,0,0,0,2,0.25,0.25,0.563,C. Santana1B,4,1,1,1,1,0,0,0.286,0.34,0.476
,M. Vargas3B,5,0,2,1,0,0,1,0.179,0.289,0.231,K. ManzardoDH,3,0,0,0,0,1,1,0.222,0.333,0.556
,L. Sosa2B,3,0,1,1,0,1,2,0.194,0.219,0.323,J. NoelRF,4,0,2,1,0,0,1,0.143,0.208,0.143
,K. LeeC,2,0,0,0,0,1,1,0.333,0.412,0.467,N. JonesCF,2,0,0,0,0,2,1,0.115,0.281,0.192
,M. ThaissC,0,0,0,0,0,1,0,0.211,0.407,0.263,B. RocchioSS,0,0,0,0,0,0,0,0.172,0.25,0.207
,M. TaylorLF,2,0,0,0,0,0,1,0.176,0.222,0.353,G. AriasSS-2B,4,0,0,0,0,0,2,0.2,0.275,0.314
,aN. MatonPH-LF,1,0,0,0,0,0,1,0.167,0.31,0.417,D. Schneemann2B-CF,3,0,0,0,0,0,1,0.067,0.222,0.267
,bB. BaldwinPH-LF,1,0,0,0,0,0,0,0.241,0.233,0.379,A. HedgesC,1,0,0,0,0,2,1,0.167,0.5,0.667
,J. AmayaSS,4,1,1,0,0,0,1,0.115,0.143,0.115,team,26,3,3,2,1,7,8,,,
,M. TauchmanRF,4,0,3,0,0,0,0,0.4,0.5,0.4,,,,,,,,,,,
,team,34,2,8,2,0,6,12,,,,,,,,,,,,,,
,gameId: 401695078,,,,,,,,,,,,,,,,,,,,,
,S. OhtaniDH,4,2,2,0,0,1,1,0.315,0.431,0.593,C. AbramsSS,5,1,1,1,1,0,0,0.25,0.279,0.6
,M. BettsSS,4,1,1,0,0,1,0,0.31,0.396,0.548,J. WoodLF,3,1,0,0,0,2,2,0.256,0.36,0.581
,T. Edman2B,3,1,2,2,0,1,0,0.259,0.293,0.574,K. RuizC,4,1,1,0,0,0,1,0.333,0.395,0.538
,T. HernándezRF,5,1,2,3,1,0,0,0.283,0.316,0.623,N. Lowe1B,2,1,0,0,0,2,0,0.244,0.306,0.511
,M. ConfortoLF,4,0,0,0,0,0,2,0.211,0.348,0.474,J. BellDH,3,1,1,1,0,1,0,0.167,0.318,0.306
,W. SmithC,4,0,0,0,0,0,1,0.353,0.5,0.5,J. YoungPR-DH,0,0,0,0,0,0,0,0.167,0.348,0.222
,M. Muncy3B,4,0,0,0,0,0,3,0.174,0.224,0.261,L. Garcia Jr.2B,2,0,1,2,0,0,0,0.2,0.216,0.343
,E. Hernández1B,3,0,0,0,0,1,1,0.103,0.163,0.41,aA. RosarioPH-2B,1,0,0,0,0,0,1,0.368,0.368,0.632
,A. PagesCF,4,1,1,1,1,0,2,0.171,0.306,0.341,A. CallRF,2,0,0,1,0,1,0,0.4,0.481,0.5
,team,35,6,8,6,2,4,10,,,,P. DeJong3B,4,0,1,0,0,0,2,0.216,0.256,0.324
,,,,,,,,,,,,D. CrewsCF,3,0,0,0,0,1,3,0.128,0.171,0.128
,,,,,,,,,,,,team,29,5,5,5,1,7,9,,,
,gameId: 401695079,,,,,,,,,,,,,,,,,,,,,
,X. EdwardsSS,3,1,1,0,0,2,0,0.283,0.37,0.348,F. LindorSS,4,0,1,0,0,0,0,0.244,0.292,0.366
,K. StowersRF,4,1,1,0,0,1,1,0.237,0.383,0.316,J. SotoRF,4,0,0,0,0,0,1,0.279,0.404,0.442
,J. Bride1B,5,2,1,1,0,0,3,0.091,0.211,0.091,P. Alonso1B,3,0,1,0,0,1,0,0.333,0.451,0.667
